,Year,Hobbyist,ConvertedComp,Country,EdLevel,Employment,JobSat,OrgSize,UndergradMajor,YearsCodePro,Data scientist or machine learning specialist,Database administrator,Data or business analyst,"Engineer, data"
13634,2019,Yes,11544.0,India,Bachelor's degree,Employed full-time,5.0,"1,000 to 4,999 employees",Another engineering discipline,3.0,1,0,0.0,0.0
13635,2019,Yes,27492.0,Italy,Some college/university study without earning a bachelor's degree,"Independent contractor, freelancer, or self-employed",5.0,10 to 19 employees,Computer science,3.0,0,1,0.0,0.0
13636,2019,Yes,76339.0,Canada,Some college/university study without earning a bachelor's degree,Employed full-time,4.0,"1,000 to 4,999 employees",Another engineering discipline,11.0,0,1,1.0,1.0
13637,2019,Yes,5976.0,Argentina,Some college/university study without earning a bachelor's degree,Employed part-time,6.0,2 to 9 employees,Computer science,3.0,0,1,0.0,0.0
13638,2019,Yes,26760.0,Colombia,Bachelor's degree,Employed full-time,8.0,20 to 99 employees,Computer science,11.0,1,0,1.0,1.0
13639,2019,Yes,57287.0,Austria,Bachelor's degree,Employed full-time,6.0,100 to 499 employees,Computer science,7.0,1,0,0.0,0.0
13640,2019,No,125000.0,United States,Bachelor's degree,Employed full-time,2.0,20 to 99 employees,Natural science,10.0,0,1,0.0,0.0
13641,2019,Yes,63108.0,New Zealand,Bachelor's degree,Employed full-time,6.0,100 to 499 employees,Computer science,5.0,0,1,0.0,0.0
13642,2019,Yes,76920.0,Romania,Bachelor's degree,"Independent contractor, freelancer, or self-employed",8.0,500 to 999 employees,Computer science,11.0,0,1,0.0,0.0
13645,2019,Yes,4050.0,Colombia,Some college/university study without earning a bachelor's degree,"Independent contractor, freelancer, or self-employed",5.0,2 to 9 employees,Computer science,3.0,0,0,0.0,1.0
13646,2019,Yes,28644.0,Spain,Bachelor's degree,Employed full-time,2.0,20 to 99 employees,Computer science,1.0,0,0,0.0,1.0
13647,2019,Yes,3862.0,India,Bachelor's degree,Employed full-time,8.0,"10,000 or more employees",Web development or web design,4.0,0,1,0.0,0.0
13649,2019,Yes,63016.0,France,Master's degree,Employed full-time,4.0,"5,000 to 9,999 employees",Computer science,5.0,0,1,0.0,0.0
13650,2019,Yes,2352.0,India,Bachelor's degree,Employed full-time,6.0,100 to 499 employees,Computer science,2.0,0,1,0.0,0.0
13651,2019,Yes,91660.0,France,Master's degree,Employed full-time,6.0,"10,000 or more employees",Information systems,3.0,1,0,0.0,0.0
13652,2019,Yes,36672.0,Russian Federation,Some college/university study without earning a bachelor's degree,Employed full-time,5.0,"1,000 to 4,999 employees",Computer science,10.0,0,1,0.0,0.0
13653,2019,Yes,100000.0,United States,Bachelor's degree,Employed full-time,2.0,100 to 499 employees,Computer science,2.0,0,0,0.0,1.0
13654,2019,No,63600.0,Germany,Master's degree,Employed full-time,4.0,2 to 9 employees,Computer science,8.0,1,0,0.0,0.0
13655,2019,Yes,16212.0,South Africa,Bachelor's degree,Employed full-time,2.0,20 to 99 employees,Computer science,2.0,0,0,1.0,0.0
13656,2019,No,75000.0,United States,Doctoral degree,Employed full-time,4.0,10 to 19 employees,Natural science,3.0,0,1,0.0,0.0
13657,2019,Yes,4786.0,India,Bachelor's degree,Employed full-time,2.0,"10,000 or more employees",Computer science,2.0,0,0,0.0,1.0
13659,2019,Yes,54996.0,Germany,Some college/university study without earning a bachelor's degree,Employed full-time,6.0,"1,000 to 4,999 employees",Computer science,7.0,0,1,1.0,0.0
13660,2019,Yes,150000.0,United States,Bachelor's degree,Employed full-time,8.0,"1,000 to 4,999 employees",Computer science,2.0,1,0,0.0,0.0
13661,2019,No,32081.0,France,Master's degree,Employed full-time,8.0,10 to 19 employees,Computer science,1.0,1,0,0.0,0.0
13662,2019,Yes,12300.0,Malaysia,Bachelor's degree,Employed full-time,6.0,10 to 19 employees,Computer science,1.0,1,1,0.0,0.0
13663,2019,Yes,5040.0,India,Master's degree,Employed full-time,2.0,100 to 499 employees,Natural science,8.0,0,0,0.0,1.0
13664,2019,Yes,57312.0,United Kingdom,Master's degree,Employed full-time,8.0,"Just me - I am a freelancer, sole proprietor, etc.",Natural science,24.0,0,1,0.0,0.0
13665,2019,Yes,8650.0,Mexico,Professional degree,Employed full-time,6.0,2 to 9 employees,Computer science,2.0,0,1,1.0,1.0
13666,2019,Yes,57636.0,Canada,Associate degree,Employed full-time,8.0,100 to 499 employees,Information systems,9.0,0,1,0.0,0.0
13667,2019,No,16500.0,Greece,Master's degree,Employed full-time,8.0,20 to 99 employees,Computer science,2.0,0,0,0.0,1.0
13668,2019,Yes,120000.0,United States,Master's degree,Employed full-time,8.0,20 to 99 employees,Computer science,3.0,0,0,0.0,1.0
13669,2019,No,108795.0,Australia,Bachelor's degree,Employed full-time,4.0,2 to 9 employees,Mathematics or statistics,20.0,0,1,0.0,0.0
13670,2019,Yes,88871.0,Norway,Master's degree,Employed full-time,8.0,20 to 99 employees,Natural science,25.0,0,0,0.0,1.0
13671,2019,Yes,72600.0,United States,Bachelor's degree,Employed full-time,4.0,20 to 99 employees,Computer science,15.0,0,1,0.0,0.0
13672,2019,Yes,22517.0,South Africa,Some college/university study without earning a bachelor's degree,Employed full-time,8.0,100 to 499 employees,Computer science,2.0,0,1,1.0,0.0
13673,2019,No,98135.0,United Kingdom,Master's degree,Employed full-time,8.0,20 to 99 employees,Mathematics or statistics,5.0,1,0,0.0,0.0
